"","episode_number_overall","directed_by","written_by","rating","votes","type"
"1","1","Masaaki Kumagai","Satoru Nishizono",8.1,841,"Mixed Canon/Filler"
"2","2","Atsushi Nigorikawa","Satoru Nishizono",7.9,650,"Mixed Canon/Filler"
"3","3","Yuki Sugihara","Satoru Nishizono",7.9,573,"Mixed Canon/Filler"
"4","4","Kiyomu Fukuda","Satoru Nishizono",8.2,580,"Mixed Canon/Filler"
"5","5","Yuki Kinoshita","Satoru Nishizono",8.1,543,"Mixed Canon/Filler"
"6","6","Mitsutaka Noshitani","Satoru Nishizono",8.1,538,"Mixed Canon/Filler"
"7","7","Hayato Goda","Satoru Nishizono",7.7,513,"Mixed Canon/Filler"
"8","8","Hiroshi Kimura","Satoru Nishizono",7.6,493,"Mixed Canon/Filler"
"9","9","Masaaki Kumagai","Satoru Nishizono",7.5,487,"Mixed Canon/Filler"
"10","10","Eitaro Ano","Satoru Nishizono",7.4,476,"Mixed Canon/Filler"
"11","11","Atsushi Nigorikawa","Satoru Nishizono",7.6,482,"Mixed Canon/Filler"
"12","12","Kiyomu Fukuda","Satoru Nishizono",7.8,481,"Mixed Canon/Filler"
"13","13","Neko Okuma","Satoru Nishizono",8,489,"Mixed Canon/Filler"
"14","14","Mitsutaka Noshitani","Satoru Nishizono",8.3,511,"Mixed Canon/Filler"
"15","15","Hayato Date","Satoru Nishizono",8.3,507,"Mixed Canon/Filler"
"16","16","Hiroshi Kimura","Satoru Nishizono",7.5,455,"Mixed Canon/Filler"
"17","17","Masaaki Kumagai","Satoru Nishizono",7.7,455,"Mixed Canon/Filler"
"18","18","Eitaro Ano","Satoru Nishizono",7.6,459,"Mixed Canon/Filler"
"19","19","Atsushi Nigorikawa","Satoru Nishizono",7.7,452,"Mixed Canon/Filler"
"20","20","Kiyomu Fukuda","Satoru Nishizono",8,481,"Manga Canon"
"21","21","Neko Okuma","Satoru Nishizono",7.9,471,"Manga Canon"
"22","22","Mitsutaka Noshitani","Satoru Nishizono",7.8,463,"Manga Canon"
"23","23","Masaki Takano","Satoru Nishizono",7.7,461,"Manga Canon"
"24","24","Hiroshi Kimura","Satoru Nishizono",7.9,468,"Mixed Canon/Filler"
"25","25","Masaaki Kumagai","Satoru Nishizono",7.8,464,"Mixed Canon/Filler"
"26","26","Atsushi Nigorikawa","Satoru Nishizono",8.7,724,"Manga Canon"
"27","27","Eitaro Ano","Satoru Nishizono",8.4,613,"Manga Canon"
"28","28","Kiyomu Fukuda","Satoru Nishizono",7,414,"Filler"
"29","29","Yuki Kinoshita","Satoru Nishizono",8,454,"Manga Canon"
"30","30","Shigeharu Takahashi","Satoru Nishizono",8.3,500,"Manga Canon"
"31","31","Shinji Satou","Satoru Nishizono",8.7,747,"Manga Canon"
"32","32","Hiroshi Kimura","Satoru Nishizono",7.8,451,"Manga Canon"
"33","33","Masaaki Kumagai","Satoru Nishizono",7.6,421,"Manga Canon"
"34","34","Eitaro Ano","Satoru Nishizono",7.2,405,"Manga Canon"
"35","35","Masahiko Murata","Satoru Nishizono",7.2,408,"Manga Canon"
"36","36","Kiyomu Fukuda","Satoru Nishizono",7.1,406,"Manga Canon"
"37","37","Atsushi Nigorikawa","Satoru Nishizono",7.1,405,"Manga Canon"
"38","38","Shigeharu Takahashi","Satoru Nishizono",7,405,"Manga Canon"
"39","39","Masaki Takano","Satoru Nishizono",7.8,429,"Manga Canon"
"40","40","Hiroshi Kimura","Satoru Nishizono",7.6,449,"Manga Canon"
"41","41","Masaaki Kumagai","Satoru Nishizono",7.9,450,"Manga Canon"
"42","42","Masahiko Murata","Satoru Nishizono",8.4,541,"Manga Canon"
"43","43","Kunitoshi Okajima","Satoru Nishizono",7.8,425,"Manga Canon"
"44","44","Kiyomu Fukuda","Satoru Nishizono",7.3,400,"Manga Canon"
"45","45","Atsushi Nigorikawa","Satoru Nishizono",7.2,392,"Mixed Canon/Filler"
"46","46","Shigeharu Takahashi","Satoru Nishizono",7.2,393,"Manga Canon"
"47","47","Neko Okuma","Satoru Nishizono",7.3,392,"Manga Canon"
"48","48","Hiroshi Kimura","Satoru Nishizono",7.1,398,"Manga Canon"
"49","49","Shinji Satou","Satoru Nishizono",7.4,404,"Mixed Canon/Filler"
"50","50","Eitaro Ano","Satoru Nishizono",7.3,386,"Mixed Canon/Filler"
"51","51","Masaaki Kumagai","Satoru Nishizono",7.5,407,"Manga Canon"
"52","52","Kiyomu Fukuda","Satoru Nishizono",7.9,445,"Manga Canon"
"53","53","Atsushi Nigorikawa","Satoru Nishizono",7.4,410,"Manga Canon"
"54","54","Shigeharu Takahashi","Yasuyuki Suzuki",7.4,404,"Mixed Canon/Filler"
"55","55","Masahiko Murata","Yasuyuki Suzuki",7.8,406,"Manga Canon"
"56","56","Hiroshi Kimura","Yasuyuki Suzuki",7.4,387,"Mixed Canon/Filler"
"57","57","Masaki Takano","Yasuyuki Suzuki",6.8,304,"Filler"
"58","58","Eitaro Ano","Yasuyuki Suzuki",6.5,303,"Filler"
"59","59","Masaaki Kumagai","Junki Takegami",6.4,297,"Filler"
"60","60","Kiyomu Fukuda","Junki Takegami",6.6,292,"Filler"
"61","61","Atsushi Nigorikawa","Yasuyuki Suzuki",6.7,298,"Filler"
"62","62","Shigeharu Takahashi","Yasuyuki Suzuki",6.5,296,"Filler"
"63","63","Yuki Kinoshita","Masahiro Hikokubo",6.6,292,"Filler"
"64","64","Hiroshi Kimura","Yasuyuki Suzuki",6.6,288,"Filler"
"65","65","Shinji Satou","Masahiro Hikokubo",6.9,288,"Filler"
"66","66","Eitaro Ano","Yasuyuki Suzuki",6.7,288,"Filler"
"67","67","Masaaki Kumagai","Yasuyuki SuzukiMasahiro Hikokubo",6.7,285,"Filler"
"68","68","Kiyomu Fukuda","Yasuyuki Suzuki",6.7,285,"Filler"
"69","69","Masaki Takano","Masahiro Hikokubo",6.5,290,"Filler"
"70","70","Shigeharu Takahashi","Yasuyuki Suzuki",6.6,292,"Filler"
"71","71","Atsushi Nigorikawa","Yasuyuki Suzuki",6.5,304,"Filler"
"72","72","Hiroshi Kimura","Masahiro Hikokubo",7.3,372,"Manga Canon"
"73","73","Masaki Takuno","Masahiro Hikokubo",7.6,403,"Manga Canon"
"74","74","Eitaro Ano","Masahiro Hikokubo",7.4,379,"Manga Canon"
"75","75","Masaaki Kumagai","Yasuyuki Suzuki",7.3,374,"Manga Canon"
"76","76","Kiyomu Fukuda","Yasuyuki Suzuki",7.6,389,"Manga Canon"
"77","77","Yuki Kinoshita","Masahiro Hikokubo",8.2,431,"Manga Canon"
"78","78","Shigeharu Takahashi","Masahiro Hikokubo",8.5,579,"Manga Canon"
"79","79","Atsushi Nigorikawa","Masahiro Hikokubo",8.6,562,"Manga Canon"
"80","80","Hiroshi Kimura","Masahiro Hikokubo",8.8,702,"Manga Canon"
"81","81","Shinji Satou","Masahiro Hikokubo",8,418,"Manga Canon"
"82","82","Toshiyuki Tsuru","Toshiyuki Tsuru",8.6,668,"Manga Canon"
"83","83","Takahiro Ono","Yuka Miyata",8.2,421,"Manga Canon"
"84","84","Kiyomu Fukuda","Yuka Miyata",8.5,488,"Manga Canon"
"85","85","Toshiyuki Tsuru","Toshiyuki Tsuru",8.6,576,"Manga Canon"
"86","86","Masaaki Kumagai","Yuka Miyata",8.8,659,"Manga Canon"
"87","87","Shigeharu Takahashi","Yasuyuki Suzuki",8.9,833,"Manga Canon"
"88","88","Atsushi Nigorikawa","Yasuyuki Suzuki",8.8,684,"Manga Canon"
"89","89","Hiroshi Kimura","Yuka Miyata",7.6,385,"Mixed Canon/Filler"
"90","90","Yuki Kinoshita","Junki Takegami",6.8,323,"Mixed Canon/Filler"
"91","91","Yuusuke Onoda","Masahiro Hikokubo",6.9,295,"Filler"
"92","92","Kunitoshi Okajima","Yasuyuki Suzuki",6.6,290,"Filler"
"93","93","Masaaki Kumagai","Shin YoshidaYasuyuki Suzuki",6.4,287,"Filler"
"94","94","Kiyomu Fukuda","Shin Yoshida",6.3,277,"Filler"
"95","95","Atsushi Nigorikawa","Shin YoshidaYuka Miyata",6.3,278,"Filler"
"96","96","Shigeharu Takahashi","Yuka Miyata",6.5,272,"Filler"
"97","97","Yuki Kinoshita","Junki Takegami",6.8,273,"Filler"
"98","98","Hiroshi Kimura","Shin Yoshida",6.8,272,"Filler"
"99","99","Yuusuke Onoda","Shin Yoshida",6.8,275,"Filler"
"100","100","Kunitoshi Okajima","Junki TakegamiShin Yoshida",6.5,272,"Filler"
"101","101","Masaaki Kumagai","Yuka Miyata",6.4,270,"Filler"
"102","102","Kiyomu Fukuda","Junki TakegamiYuka Miyata",6.4,271,"Filler"
"103","103","Atsushi Nigorikawa","Masahiro Hikokubo",6.7,269,"Filler"
"104","104","Shigeharu Takahashi","Shin YoshidaJunki Takegami",6.8,265,"Filler"
"105","105","Yuki Kinoshita","Yuka Miyata",6.4,271,"Filler"
"106","106","Hiroshi Kimura","Masahiro Hikokubo",6.6,270,"Filler"
"107","107","Toshiaki Kanbara","Yasuyuki Suzuki",6.5,267,"Filler"
