"","episode_number_overall","director","writer","rating","votes","type","fr"
"1",1,"Masaaki Kumagai","Satoru Nishizono",8.1,841,"Mixed Canon/Filler",3.01
"2",2,"Atsushi Nigorikawa","Satoru Nishizono",7.9,650,"Mixed Canon/Filler",2.27
"3",3,"Yuki Sugihara","Satoru Nishizono",7.9,573,"Mixed Canon/Filler",2
"4",4,"Kiyomu Fukuda","Satoru Nishizono",8.2,580,"Mixed Canon/Filler",2.1
"5",5,"Yuki Kinoshita","Satoru Nishizono",8.1,543,"Mixed Canon/Filler",1.94
"6",6,"Mitsutaka Noshitani","Satoru Nishizono",8.1,538,"Mixed Canon/Filler",1.92
"7",7,"Hayato Goda","Satoru Nishizono",7.7,513,"Mixed Canon/Filler",1.74
"8",8,"Hiroshi Kimura","Satoru Nishizono",7.6,493,"Mixed Canon/Filler",1.65
"9",9,"Masaaki Kumagai","Satoru Nishizono",7.5,487,"Mixed Canon/Filler",1.61
"10",10,"Eitaro Ano","Satoru Nishizono",7.4,476,"Mixed Canon/Filler",1.55
"11",11,"Atsushi Nigorikawa","Satoru Nishizono",7.6,482,"Mixed Canon/Filler",1.62
"12",12,"Kiyomu Fukuda","Satoru Nishizono",7.8,481,"Mixed Canon/Filler",1.66
"13",13,"Neko Okuma","Satoru Nishizono",8,489,"Mixed Canon/Filler",1.73
"14",14,"Mitsutaka Noshitani","Satoru Nishizono",8.3,511,"Mixed Canon/Filler",1.87
"15",15,"Hayato Date","Satoru Nishizono",8.3,507,"Mixed Canon/Filler",1.86
"16",16,"Hiroshi Kimura","Satoru Nishizono",7.5,455,"Mixed Canon/Filler",1.51
"17",17,"Masaaki Kumagai","Satoru Nishizono",7.7,455,"Mixed Canon/Filler",1.55
"18",18,"Eitaro Ano","Satoru Nishizono",7.6,459,"Mixed Canon/Filler",1.54
"19",19,"Atsushi Nigorikawa","Satoru Nishizono",7.7,452,"Mixed Canon/Filler",1.54
"20",20,"Kiyomu Fukuda","Satoru Nishizono",8,481,"Manga Canon",1.7
"21",21,"Neko Okuma","Satoru Nishizono",7.9,471,"Manga Canon",1.64
"22",22,"Mitsutaka Noshitani","Satoru Nishizono",7.8,463,"Manga Canon",1.59
"23",23,"Masaki Takano","Satoru Nishizono",7.7,461,"Manga Canon",1.57
"24",24,"Hiroshi Kimura","Satoru Nishizono",7.9,468,"Mixed Canon/Filler",1.63
"25",25,"Masaaki Kumagai","Satoru Nishizono",7.8,464,"Mixed Canon/Filler",1.6
"26",26,"Atsushi Nigorikawa","Satoru Nishizono",8.7,724,"Manga Canon",2.78
"27",27,"Eitaro Ano","Satoru Nishizono",8.4,613,"Manga Canon",2.27
"28",28,"Kiyomu Fukuda","Satoru Nishizono",7,414,"Filler",1.28
"29",29,"Yuki Kinoshita","Satoru Nishizono",8,454,"Manga Canon",1.6
"30",30,"Shigeharu Takahashi","Satoru Nishizono",8.3,500,"Manga Canon",1.83
"31",31,"Shinji Satou","Satoru Nishizono",8.7,747,"Manga Canon",2.87
"32",32,"Hiroshi Kimura","Satoru Nishizono",7.8,451,"Manga Canon",1.55
"33",33,"Masaaki Kumagai","Satoru Nishizono",7.6,421,"Manga Canon",1.41
"34",34,"Eitaro Ano","Satoru Nishizono",7.2,405,"Manga Canon",1.29
