"","naruto$director","avgFR"
"1","Akitoshi Yokoyama",2.93
"2","Atsushi Wakabayashi",7.02
"3","Chikara Sakurai",4.2
"4","Fujiaki Asari",3.66
"5","Hayato Date",2.375
"6","Hayato Goda",1.74
"7","Hiroyuki Yamashita",10.165
"8","Kazunori Mizuno",1.59086956521739
"9","Masaaki Kumagai",2.04589743589744
"10","Masahiko Murata",3.45555555555556
"11","Masahiro Takada",4.51
"12","Minoru Yamaoka",3.29
"13","Shinji Satou",1.6375
"14","Tomokazu Iwasaki",4.07
"15","Toshiyuki Tsuru",2.57777777777778
"16","Yasuhiro Minami",5.65
"17","Yasumi Mikamoto",2.77
"18","Yoshihiro Sugai",1.91222222222222
"19","Yoshihiro Yanagiya",2.34
"20","Yuki Sugihara",2
